股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
300659,中孚信息,225540757.0,155525908.0,3750742788.91,2586395850.04,软件开发,20170526
688339,亿华通-U,165465772.0,113849659.0,6789060625.16,4671251508.77,电池,20200810
300495,*ST美尚,674279488.0,673338228.0,681022282.88,680071610.28,环保行业,20151222
002325,洪涛股份,1756514205.0,1439300470.0,2915813580.2999997,2389238780.2,装修装饰,20091222
688052,纳芯微,142528433.0,92633105.0,14309854673.2,9300363742.0,半导体,20220422
300657,弘信电子,488410056.0,463352112.0,9460502784.720001,8975130409.44,电子元件,20170523
603188,亚邦股份,570170000.0,570170000.0,1602177700.0,1602177700.0,化学制品,20140909
688176,亚虹医药-U,570000000.0,371480498.0,3881700000.0,2529782191.3799996,生物制品,20220107
000697,*ST炼石,873100876.0,581451905.0,6329981351.0,4215526311.25,航天航空,19970325
300821,东岳硅材,1200000000.0,1200000000.0,8748000000.0,8748000000.0,化学制品,20200312
600802,福建水泥,458248400.0,458248400.0,1713849016.0,1713849016.0,水泥建材,19940103
600231,凌钢股份,2852160116.0,2852160116.0,4962758601.84,4962758601.84,钢铁行业,20000511
002309,ST中利,871787068.0,867757299.0,1778445618.72,1770224889.96,光伏设备,20091127
002630,华西能源,1180800000.0,1059553505.0,3152736000.0,2829007858.35,电源设备,20111111
688055,龙腾光电,3333333400.0,3333333400.0,11566666898.0,11566666898.0,光学光电子,20200817
688343,云天励飞-U,355133720.0,81820962.0,13139947640.0,3027375594.0,软件开发,20230404
600568,ST中珠,1992869681.0,1564948288.0,2770088856.5899997,2175278120.3199997,综合行业,20010518
601015,陕西黑猫,2042497639.0,2042497639.0,7291716571.23,7291716571.23,煤炭行业,20141105
000516,国际医学,2260809518.0,2213559751.0,14039627106.78,13746206053.71,医疗服务,19930809
002433,*ST太安,766773200.0,744385625.0,950798768.0,923038175.0,中药,20100618
603399,吉翔股份,518650649.0,512290649.0,3931371919.42,3883163119.42,小金属,20120824
000698,沈阳化工,819514395.0,785710473.0,3015812973.6,2891414540.6400003,石油行业,19970220
002431,棕榈股份,1812816265.0,1486985450.0,4405143523.950001,3613374643.5,工程建设,20100610
600366,宁波韵升,1111758051.0,1063885036.0,7081898784.87,6776947679.32,小金属,20001030
688512,慧智微-U,455203548.0,53139380.0,5225736731.04,610040082.4,半导体,20230516
002212,天融信,1184714572.0,1168135783.0,8233766275.400001,8118543691.85,软件开发,20080201
002548,金新农,805093658.0,804471492.0,4065722972.9,4062581034.6,农牧饲渔,20110218
002341,新纶新材,1152214592.0,1150778567.0,3975140342.4,3970186056.15,塑料制品,20100122
600337,美克家居,1479542537.0,1479542537.0,3802424320.0899997,3802424320.0899997,装修建材,20001127
600100,同方股份,3350297713.0,2963898951.0,21676426203.11,19176426212.969997,计算机设备,19970627
300271,华宇软件,816275473.0,801731554.0,5640463518.43,5539965038.14,互联网服务,20111026
002047,宝鹰股份,1516248693.0,1341216855.0,3305422150.7400002,2923852743.9,装修装饰,20050531
600691,阳煤化工,2375981952.0,2375585952.0,5726116504.320001,5725162144.320001,化肥行业,19931119
000712,锦龙股份,896000000.0,895240775.0,10456320000.0,10447459844.25,证券,19970415
300266,兴源环境,1553807314.0,1553774914.0,3216381139.9799995,3216314071.9799995,环保行业,20110927
002741,光华科技,399479243.0,361606223.0,4621974841.51,4183784000.11,电子化学品,20150216
688280,精进电动-UW,590221667.0,459660046.0,3045543801.7200003,2371845837.36,汽车零部件,20211027
300477,合纵科技,1072018687.0,935438109.0,2948051389.25,2572454799.75,电网设备,20150610
603660,苏州科达,503004222.0,494319622.0,3822832087.2,3756829127.2,计算机设备,20161201
000413,东旭光电,5632749948.0,5029350156.0,9575674911.6,8549895265.2,光学光电子,19960925
000961,中南建设,3826558901.0,3811124873.0,3826558901.0,3811124873.0,房地产开发,20000301
600791,京能置业,452880000.0,452313696.0,1766232000.0,1764023414.3999999,房地产开发,19970130
000825,太钢不锈,5718518596.0,5696247796.0,20529481759.64,20449529587.64,钢铁行业,19981021
300197,节能铁汉,2965298080.0,2700332034.0,5545107409.6,5049620903.58,环保行业,20110329
603477,巨星农牧,509788788.0,509788788.0,18637878089.280003,18637878089.280003,农牧饲渔,20171218
688141,杰华特,446880000.0,233403816.0,7275206400.000001,3799814124.4800005,半导体,20221223
600306,*ST商城,428413599.0,374311227.0,1670813036.1,1459813785.3,商业百货,20001226
002036,联创电子,1068559101.0,1053582282.0,8420245715.88,8302228382.16,光学光电子,20040903
300168,万达信息,1443191991.0,1361325866.0,9481771380.87,8943910939.62,互联网服务,20110125
000665,湖北广电,1134359447.0,1134320282.0,4639530138.23,4639369953.38,文化传媒,19961210
002542,中化岩土,1806116738.0,1601624649.0,4208251999.54,3731785432.17,工程建设,20110128
002528,英飞拓,1198675082.0,1046439251.0,8318805069.080001,7262288401.940001,软件开发,20101224
002505,鹏都农牧,6374261088.0,6374261088.0,7776598527.36,7776598527.36,贸易行业,20101118
002009,天奇股份,407766707.0,373607228.0,6055335598.95,5548067335.8,专用设备,20040629
300077,国民技术,594841000.0,566066900.0,5972203639.999999,5683311675.999999,半导体,20100430
603982,泉峰汽车,261373546.0,243262478.0,3112958932.86,2897256112.98,汽车零部件,20190522
600307,酒钢宏兴,6263357424.0,6263357424.0,8643433245.119999,8643433245.119999,钢铁行业,20001220
300255,常山药业,919060878.0,915844858.0,10514056444.32,10477265175.52,化学制药,20110819
300188,国投智能,859477310.0,724263043.0,12041277113.1,10146925232.43,软件开发,20110316
002251,*ST步高,840218653.0,840218653.0,2957569658.56,2957569658.56,商业百货,20080619
000627,天茂集团,4940629165.0,4552504165.0,12203354037.550001,11244685287.550001,保险,19961112
